Date,Open,High,Low,Close,Adj Close,Volume
2013-04-04,185.227005,186.000000,182.291000,183.417999,131.441833,18866172
2013-04-05,183.417999,183.417999,179.091003,181.481995,130.054443,28818724
2013-04-08,180.854996,182.744995,179.509003,179.835999,128.874863,12105429
2013-04-09,181.190994,185.408997,178.764008,180.009003,128.998840,20901188
2013-04-10,181.373001,183.145004,178.490997,182.600006,130.855637,22694012
2013-04-11,186.345001,190.727005,186.227005,189.126999,135.533035,30178715
2013-04-12,187.473007,191.072998,186.600006,190.063995,136.204514,11153571
2013-04-15,188.636002,194.345001,187.544998,190.382004,136.432419,20935976
2013-04-16,190.000000,197.272995,189.891006,196.164001,140.575928,31681606
2013-04-17,196.563995,202.100006,196.563995,199.572998,143.018890,26780105
2013-04-18,196.727005,204.945007,196.727005,204.117996,146.275955,20986466
2013-04-22,204.117996,210.854996,202.990997,208.809006,149.637634,19837164
2013-04-23,209.091003,211.800003,204.481995,211.145004,151.311691,22457716
2013-04-25,211.145004,216.000000,211.145004,214.063995,153.403503,34175350
2013-04-26,213.182007,216.145004,204.544998,208.091003,149.123108,38868885
2013-04-29,209.108994,210.908997,206.091003,209.673004,150.256805,12108723
2013-04-30,210.455002,213.091003,207.654999,211.572998,151.618393,16337541
2013-05-02,211.572998,215.817993,210.908997,213.035995,152.666824,15253200
2013-05-03,212.300003,212.727005,203.981995,205.445007,147.226898,21828450
2013-05-06,205.000000,208.908997,201.682007,207.755005,148.882309,13608062
2013-05-07,207.817993,213.091003,207.636002,211.626999,151.657104,16100205
2013-05-08,212.727005,213.781998,208.291000,210.535995,150.875244,13112506
2013-05-09,210.908997,211.845001,207.964005,209.572998,150.185135,8672928
2013-05-10,209.636002,212.709000,209.154999,211.882004,151.839828,10691846
2013-05-13,211.091003,213.908997,208.227005,208.873001,149.683487,10484056
2013-05-14,209.636002,212.100006,207.617996,208.626999,149.507202,11398414
2013-05-15,209.626999,217.964005,209.455002,216.591003,155.214417,19773430
2013-05-16,215.455002,221.636002,215.417999,219.544998,157.331329,16552888
2013-05-17,219.108994,224.891006,218.735992,223.718002,160.321793,15429497
2013-05-20,223.445007,224.436005,218.835999,219.964005,157.631577,15072866
2013-05-21,219.964005,224.764008,218.582001,220.182007,157.787827,13731075
2013-05-22,220.908997,223.091003,218.990997,220.018005,157.670273,14560750
2013-05-23,218.182007,219.345001,211.317993,213.145004,152.744919,18462532
2013-05-24,215.709000,220.126999,214.126999,218.936005,156.894897,14107000
2013-05-27,218.908997,222.727005,217.235992,221.709000,158.882080,13687630
2013-05-28,222.455002,225.164001,221.800003,223.990997,160.517426,14966160
2013-05-29,223.636002,224.091003,219.654999,220.891006,158.295883,11424242
2013-05-30,217.272995,217.718002,213.136002,215.054993,169.456680,23897704
2013-05-31,214.727005,216.145004,208.727005,209.899994,165.394714,18191398
2013-06-03,209.091003,210.544998,206.300003,208.209000,164.062256,13596193
2013-06-04,209.091003,212.026993,206.309006,206.945007,163.066254,12805568
2013-06-05,207.255005,208.136002,203.636002,206.255005,162.522568,14967552
2013-06-06,205.091003,211.417999,204.190994,209.927002,165.415970,10282987
2013-06-07,208.544998,210.509003,207.035995,207.582001,163.568207,13126982
2013-06-10,208.363998,210.509003,201.654999,203.235992,160.143677,16822922
2013-06-11,201.272995,202.354996,195.145004,195.727005,154.226822,31926708
2013-06-12,194.591003,198.000000,194.326996,196.591003,154.907623,17971542
2013-06-13,194.544998,196.981995,193.817993,194.335999,153.130783,14672218
2013-06-14,197.617996,200.809006,195.455002,200.391006,157.901917,19640098
2013-06-17,200.000000,201.063995,196.382004,200.264008,157.801865,14558143
2013-06-18,199.436005,199.899994,197.281998,198.354996,156.297592,10463062
2013-06-19,197.600006,198.363998,196.000000,197.582001,155.688507,7688027
2013-06-20,194.182007,194.182007,188.490997,190.209000,149.878815,26143442
2013-06-21,188.399994,190.908997,186.572998,189.973007,149.692856,22564300
